ds,y,Open,High,Low,Volume,Chg%
2023-01-12,62876,62634,62993,62409,210,0.38
2023-02-01,55016,54900,55029,54898,550,0.43
2023-02-02,57710,58299,58895,57700,210,0.19
2023-02-03,55915,55935,56050,55100,170,-0.24
2023-02-05,60787,60050,60861,59900,710,1.35
2023-02-06,59656,60449,60449,59601,60,-0.63
2023-02-08,59117,59241,59399,59041,130,0.12
2023-02-11,60805,60828,60845,60666,190,0.08
2023-03-01,55380,55419,55820,55264,1590,0.66
2023-03-02,57424,57962,57990,57202,90,-0.5
2023-03-03,55879,55999,56029,55710,60,-0.06
2023-03-04,59600,59750,59760,59031,290,0.48
2023-03-05,61073,60925,61146,60700,190,0.47
2023-03-07,58119,57979,58205,57830,70,0.17
2023-03-08,59078,59099,59860,58950,160,-0.07
2023-03-10,56385,56323,56490,56251,80,-1.18
2023-03-11,60829,60822,61590,60005,240,0.04
2023-04-01,55688,55600,55821,55555,450,0.56
2023-04-04,60435,59558,60625,59558,160,1.4
2023-04-05,61683,61374,61898,61150,180,1.0
2023-04-07,58194,58171,58239,58124,20,0.13
2023-04-08,59124,59074,59249,59037,20,0.08
2023-04-09,59385,59125,59540,59101,90,0.47
2023-04-10,56229,56280,56367,56205,140,-0.28
2023-04-12,62302,64342,64344,62254,180,-0.91
2023-05-01,55071,56107,56107,54997,740,-1.11
2023-05-04,60366,60599,60949,60100,350,-0.11
2023-05-05,60799,61899,61899,60200,110,-1.43
2023-05-06,59805,59588,60200,59200,40,0.25
2023-05-07,58308,58186,58450,58148,120,0.2
2023-05-09,59301,59550,59550,59150,30,-0.14
2023-05-10,56112,55913,56336,55913,320,-0.21
2023-05-12,62600,63303,63303,61941,80,0.48
2023-06-01,55628,55303,55700,55205,9170,1.01
2023-06-02,56926,56690,57076,56665,10030,-0.87
2023-06-03,55752,55605,55986,55605,6390,-0.23
2023-06-04,60276,60500,60580,60075,10850,-0.15
2023-06-06,59902,59773,59998,59701,8000,0.16
2023-06-07,58385,58469,58637,58150,13960,0.13
2023-06-09,59111,59208,59310,59021,6940,-0.32
2023-06-10,56582,56486,56641,56160,11220,0.84
2023-06-11,60818,60851,60980,60750,7710,-0.02
2023-06-12,62269,62169,62419,62055,10640,-0.53
2023-07-02,57175,57000,57269,56888,9070,0.44
2023-07-03,55077,55655,55677,55050,7900,-1.21
2023-07-06,59511,59900,60025,59410,14680,-0.65
2023-07-07,58747,58396,58898,58313,13140,0.62
2023-07-08,59201,59325,59380,59135,8380,0.13
2023-07-09,59016,59124,59125,58981,4270,-0.16
2023-07-11,60365,60746,60746,60200,11600,-0.74
2023-07-12,62290,62205,62578,62088,9880,0.03
2023-08-02,57128,57188,57303,56930,7560,-0.08
2023-08-03,54955,55010,55140,54888,7210,-0.22
2023-08-05,60916,60750,61042,60750,9010,0.19
2023-08-06,59809,59550,59950,59410,14350,0.5
2023-08-08,58997,59161,59215,58950,9730,-0.34
2023-08-09,58905,59117,59200,58872,5870,-0.19
2023-08-11,60043,60401,60460,59979,11790,-0.53
2023-08-12,61597,62385,62386,61525,15530,-1.11
2023-09-01,55792,55952,56077,55721,8180,0.29
2023-09-02,56797,57117,57281,56690,9660,-0.58
